상품명,판매가격,세일여부,1+1,구매여부,세일여부,1+1,1+1에따른가격
진라면(순한맛) 5개입,2750,N,N,0,0,0,2750
진라면(순한맛) 5개입,4000,N,N,0,0,0,4000
진라면(순한맛) 5개입,2980,Y,N,0,1,0,2980
진라면(순한맛) 5개입,2490,N,N,0,0,0,2490
진라면(순한맛) 5개입,2850,N,N,0,0,0,2850
진라면(순한맛) 5개입,3000,N,N,0,0,0,3000
진라면(순한맛) 5개입,3200,N,N,0,0,0,3200
진라면(순한맛) 5개입,2480,Y,N,0,1,0,2480
진라면(순한맛) 5개입,2800,N,N,1,0,1,1400
진라면(순한맛) 5개입,2400,N,N,0,0,0,2400
진라면(순한맛) 5개입,2750,Y,N,0,1,0,2750
진라면(순한맛) 5개입,2700,N,N,0,0,0,2700
진라면(순한맛) 5개입,2850,Y,N,0,1,0,2850
진라면(순한맛) 5개입,2500,Y,N,0,1,0,2500
진라면(순한맛) 5개입,2900,N,N,0,0,0,2900
진라면(순한맛) 5개입,2500,N,N,0,0,0,2500
진라면(순한맛) 5개입,3500,N,N,0,0,0,3500
진라면(순한맛) 5개입,2600,Y,N,0,1,0,2600
진라면(순한맛) 5개입,2680,N,N,0,0,0,2680
진라면(순한맛) 5개입,2650,N,N,0,0,0,2650
진라면(순한맛) 5개입,2980,N,N,0,0,0,2980
진라면(순한맛) 5개입,2790,N,N,0,0,0,2790
진라면(순한맛) 5개입,3600,N,N,0,0,0,3600
진라면(순한맛) 5개입,2990,N,N,0,0,0,2990
진라면(순한맛) 5개입,2590,N,N,0,0,0,2590
진라면(순한맛) 5개입,2380,N,N,0,0,0,2380
오뚜기 찹쌀 왕만두피(300g),1990,N,N,0,0,0,1990
오뚜기 찹쌀 왕만두피(300g),1000,N,N,1,0,0,1000
오뚜기 찹쌀 왕만두피(300g),1480,N,N,0,0,0,1480
오뚜기 찹쌀 왕만두피(300g),1530,N,N,0,0,0,1530
오뚜기 찹쌀 왕만두피(300g),1800,N,N,0,0,0,1800
